N,AVLFindBest,AVLFindWorst,AVLFindAverage,BSTFindBest,BSTFindWorst,BSTFindAverage,AVLInsertBest,AVLInsertWorst,AVLInsertAverage,BSTInsertBest,BSTInsertWorst,BSTInsertAverage
1,7,7,7.0,1,1,1.0,2,2,2.0,0,0,0.0
2,3,7,5.0,1,3,2.0,2,6,4.0,0,2,1.0
3,3,7,5.0,1,5,3.0,2,12,6.666666666666667,0,6,2.6666666666666665
4,3,9,6.0,1,5,3.5,2,18,9.5,0,10,4.5
5,3,9,6.6,1,5,3.4,2,24,12.4,0,12,6.0
6,3,9,6.0,1,5,3.6666666666666665,2,32,15.666666666666666,0,16,7.666666666666667
7,3,9,6.428571428571429,1,7,4.142857142857143,2,40,19.142857142857142,0,22,9.714285714285714
8,3,15,7.5,1,7,4.5,2,48,22.75,0,28,12.0
9,3,17,8.555555555555555,1,7,4.777777777777778,2,56,26.444444444444443,0,34,14.444444444444445
10,3,17,9.4,1,7,5.0,2,64,30.2,0,40,17.0
11,3,17,9.909090909090908,1,9,5.363636363636363,2,74,34.18181818181818,0,48,19.818181818181817
12,3,17,10.0,1,9,5.666666666666667,2,84,38.333333333333336,0,56,22.833333333333332
13,3,17,9.76923076923077,1,11,6.076923076923077,2,96,42.76923076923077,0,66,26.153846153846153
14,3,17,9.714285714285714,1,11,6.285714285714286,2,104,47.142857142857146,0,74,29.571428571428573
15,3,17,9.8,1,11,6.466666666666667,2,112,51.46666666666667,0,82,33.06666666666667
16,3,17,10.125,1,11,6.75,2,122,55.875,0,92,36.75
17,3,17,10.411764705882353,1,11,6.764705882352941,2,132,60.35294117647059,0,98,40.35294117647059
18,3,17,10.777777777777779,1,11,6.777777777777778,2,140,64.77777777777777,0,104,43.888888888888886
19,3,17,10.68421052631579,1,11,6.894736842105263,2,150,69.26315789473684,0,112,47.473684210526315
20,3,17,10.9,1,11,7.1,2,160,73.8,0,122,51.2
21,1,17,10.428571428571429,1,11,7.285714285714286,2,172,78.47619047619048,0,132,55.04761904761905
22,1,17,10.454545454545455,1,11,7.363636363636363,2,182,83.18181818181819,0,140,58.90909090909091
23,1,17,10.73913043478261,1,11,7.260869565217392,2,194,88.0,0,144,62.608695652173914
24,1,17,10.5,1,13,7.5,2,206,92.91666666666667,0,156,66.5
25,1,17,10.52,1,13,7.72,2,216,97.84,0,168,70.56
26,1,17,10.461538461538462,1,13,7.923076923076923,2,228,102.84615384615384,0,180,74.76923076923077
27,1,17,10.62962962962963,1,13,7.962962962962963,2,240,107.92592592592592,0,188,78.96296296296296
28,1,17,10.571428571428571,1,13,8.071428571428571,2,250,113.0,0,198,83.21428571428571
29,1,17,10.793103448275861,1,13,8.241379310344827,2,262,118.13793103448276,0,210,87.58620689655173
30,1,17,10.8,1,15,8.466666666666667,2,274,123.33333333333333,0,224,92.13333333333334
31,1,17,10.741935483870968,1,15,8.548387096774194,2,284,128.51612903225808,0,234,96.70967741935483
32,1,17,10.8125,1,15,8.625,2,296,133.75,0,244,101.3125
33,1,17,10.696969696969697,1,15,8.757575757575758,2,310,139.0909090909091,0,256,106.0
34,1,17,10.882352941176471,1,15,8.882352941176471,2,320,144.41176470588235,0,268,110.76470588235294
35,1,17,11.0,1,15,9.0,2,332,149.77142857142857,0,280,115.6
36,1,17,10.88888888888889,1,15,9.11111111111111,2,344,155.16666666666666,0,292,120.5
37,1,17,11.0,1,17,9.324324324324325,2,358,160.64864864864865,0,308,125.56756756756756
38,1,17,11.105263157894736,1,17,9.473684210526315,2,372,166.21052631578948,0,322,130.73684210526315
39,1,17,11.256410256410257,1,17,9.512820512820513,2,384,171.7948717948718,0,332,135.89743589743588
40,1,17,11.3,1,17,9.65,2,398,177.45,0,346,141.15
41,1,17,11.439024390243903,1,17,9.731707317073171,2,412,183.17073170731706,0,358,146.4390243902439
42,1,17,11.523809523809524,1,17,9.857142857142858,2,424,188.9047619047619,0,372,151.8095238095238
43,1,17,11.651162790697674,1,17,9.930232558139535,2,436,194.65116279069767,0,384,157.2093023255814
44,1,17,11.5,1,17,10.090909090909092,2,450,200.45454545454547,0,400,162.72727272727272
45,1,17,11.577777777777778,1,17,10.2,2,464,206.3111111111111,0,414,168.3111111111111
46,1,17,11.652173913043478,1,17,10.347826086956522,2,478,212.2173913043478,0,430,174.0
47,1,17,11.680851063829786,1,17,10.319148936170214,2,490,218.12765957446808,0,438,179.61702127659575
48,1,17,11.708333333333334,1,17,10.375,2,504,224.08333333333334,0,450,185.25
49,1,17,11.816326530612244,1,17,10.428571428571429,2,518,230.08163265306123,0,462,190.89795918367346
50,1,17,11.92,1,17,10.52,2,532,236.12,0,476,196.6
51,1,17,12.019607843137255,1,17,10.490196078431373,2,544,242.15686274509804,0,484,202.23529411764707
52,1,17,11.884615384615385,1,17,10.5,2,558,248.23076923076923,0,494,207.84615384615384
53,1,17,11.79245283018868,1,19,10.660377358490566,2,572,254.33962264150944,0,512,213.58490566037736
54,1,17,11.777777777777779,1,21,10.851851851851851,2,586,260.48148148148147,0,532,219.4814814814815
55,1,17,11.836363636363636,1,21,10.854545454545455,2,600,266.6545454545454,0,542,225.34545454545454
56,1,17,11.857142857142858,1,21,10.892857142857142,2,614,272.85714285714283,0,554,231.21428571428572
57,1,17,11.912280701754385,1,21,10.964912280701755,2,628,279.0877192982456,0,568,237.12280701754386
58,1,17,11.96551724137931,1,21,11.03448275862069,2,642,285.3448275862069,0,582,243.06896551724137
59,1,17,11.94915254237288,1,21,11.033898305084746,2,656,291.6271186440678,0,592,248.98305084745763
60,1,17,12.033333333333333,1,21,11.1,2,670,297.93333333333334,0,606,254.93333333333334
61,1,17,12.081967213114755,1,21,11.19672131147541,2,684,304.26229508196724,0,622,260.95081967213116
62,1,17,12.096774193548388,1,21,11.258064516129032,2,698,310.61290322580646,0,636,267.0
63,1,19,12.206349206349206,1,21,11.380952380952381,2,712,316.984126984127,0,654,273.14285714285717
64,1,19,12.1875,1,21,11.53125,2,726,323.375,0,674,279.40625
65,1,19,12.2,1,21,11.553846153846154,2,740,329.7846153846154,0,686,285.66153846153844
66,1,19,12.151515151515152,1,21,11.606060606060606,2,754,336.2121212121212,0,700,291.93939393939394
67,1,19,12.194029850746269,1,21,11.656716417910447,2,770,342.6865671641791,0,714,298.23880597014926
68,1,19,12.264705882352942,1,21,11.735294117647058,2,786,349.20588235294116,0,730,304.5882352941176
69,1,19,12.304347826086957,1,21,11.72463768115942,2,800,355.7391304347826,0,740,310.8985507246377
70,1,19,12.257142857142858,1,21,11.8,2,816,362.3142857142857,0,756,317.25714285714287
71,1,19,12.295774647887324,1,21,11.816901408450704,2,832,368.92957746478874,0,768,323.6056338028169
72,1,19,12.25,1,21,11.88888888888889,2,846,375.55555555555554,0,784,330.0
73,1,19,12.26027397260274,1,23,12.04109589041096,2,862,382.2191780821918,0,806,336.52054794520546
74,1,19,12.27027027027027,1,23,12.027027027027026,2,874,388.86486486486484,0,816,343.0
75,1,19,12.28,1,23,12.093333333333334,2,890,395.5466666666667,0,832,349.52
76,1,19,12.31578947368421,1,23,12.026315789473685,2,904,402.2368421052632,0,838,355.94736842105266
77,1,19,12.246753246753247,1,23,12.090909090909092,2,920,408.961038961039,0,854,362.4155844155844
78,1,19,12.256410256410257,1,23,12.076923076923077,2,936,415.71794871794873,0,864,368.84615384615387
79,1,19,12.316455696202532,1,23,12.063291139240507,2,952,422.50632911392404,0,874,375.24050632911394
80,1,19,12.325,1,23,12.15,2,968,429.325,0,892,381.7
81,1,19,12.382716049382717,1,23,12.25925925925926,2,984,436.17283950617286,0,912,388.24691358024694
82,1,19,12.365853658536585,1,23,12.292682926829269,2,998,443.0243902439024,0,926,394.8048780487805
83,1,19,12.44578313253012,1,23,12.349397590361447,2,1014,449.90361445783134,0,942,401.3975903614458
84,1,19,12.380952380952381,1,23,12.357142857142858,2,1028,456.7857142857143,0,954,407.9761904761905
85,1,19,12.388235294117647,1,23,12.435294117647059,2,1044,463.6941176470588,0,972,414.61176470588236
86,1,19,12.348837209302326,1,23,12.534883720930232,2,1060,470.6279069767442,0,992,421.3255813953488
87,1,19,12.402298850574713,1,23,12.60919540229885,2,1078,477.60919540229884,0,1010,428.0919540229885
88,1,19,12.386363636363637,1,23,12.659090909090908,2,1092,484.59090909090907,0,1026,434.8863636363636
89,1,19,12.438202247191011,1,23,12.685393258426966,2,1108,491.59550561797755,0,1040,441.685393258427
90,1,19,12.488888888888889,1,23,12.688888888888888,2,1122,498.6,0,1052,448.46666666666664
91,1,19,12.538461538461538,1,23,12.802197802197803,2,1138,505.6263736263736,0,1074,455.34065934065933
92,1,19,12.521739130434783,1,23,12.847826086956522,2,1152,512.6521739130435,0,1090,462.2391304347826
93,1,19,12.548387096774194,1,23,12.89247311827957,2,1168,519.6989247311828,0,1106,469.16129032258067
94,1,19,12.595744680851064,1,23,12.936170212765957,2,1182,526.7446808510638,0,1122,476.1063829787234
95,1,19,12.642105263157895,1,23,13.0,2,1196,533.7894736842105,0,1140,483.09473684210525
96,1,19,12.666666666666666,1,23,13.020833333333334,2,1214,540.875,0,1154,490.0833333333333
97,1,19,12.690721649484535,1,23,13.041237113402062,2,1230,547.979381443299,0,1168,497.07216494845363
98,1,19,12.714285714285714,1,23,13.10204081632653,2,1246,555.1020408163265,0,1186,504.1020408163265
99,1,19,12.777777777777779,1,25,13.222222222222221,2,1262,562.2424242424242,0,1210,511.2323232323232
100,1,19,12.8,1,25,13.26,2,1276,569.38,0,1226,518.38
101,1,19,12.782178217821782,1,25,13.217821782178218,2,1292,576.5346534653465,0,1234,525.4653465346535
102,1,19,12.764705882352942,1,25,13.215686274509803,2,1306,583.6862745098039,0,1246,532.5294117647059
103,1,19,12.78640776699029,1,25,13.174757281553399,2,1318,590.8155339805825,0,1254,539.5339805825242
104,1,19,12.76923076923077,1,25,13.153846153846153,2,1332,597.9423076923077,0,1264,546.5
105,1,19,12.80952380952381,1,25,13.114285714285714,2,1346,605.0666666666667,0,1272,553.4095238095238
106,1,19,12.79245283018868,1,25,13.132075471698114,2,1360,612.188679245283,0,1286,560.3207547169811
107,1,19,12.813084112149532,1,25,13.16822429906542,2,1376,619.3271028037383,0,1302,567.2523364485982
108,1,19,12.777777777777779,1,25,13.185185185185185,2,1392,626.4814814814815,0,1316,574.1851851851852
109,1,19,12.779816513761467,1,25,13.238532110091743,2,1406,633.6330275229358,0,1334,581.1559633027523
110,1,19,12.818181818181818,1,25,13.272727272727273,2,1422,640.8,0,1350,588.1454545454545
111,1,19,12.837837837837839,1,25,13.306306306306306,2,1440,648.0,0,1366,595.1531531531532
112,1,19,12.839285714285714,1,25,13.339285714285714,2,1454,655.1964285714286,0,1382,602.1785714285714
113,1,19,12.84070796460177,1,25,13.389380530973451,2,1470,662.4070796460177,0,1400,609.2389380530974
114,1,19,12.859649122807017,1,25,13.43859649122807,2,1486,669.6315789473684,0,1418,616.3333333333334
115,1,19,12.826086956521738,1,25,13.417391304347825,2,1502,676.8695652173913,0,1428,623.3913043478261
116,1,19,12.827586206896552,1,25,13.431034482758621,2,1518,684.1206896551724,0,1442,630.448275862069
117,1,19,12.863247863247864,1,25,13.461538461538462,2,1534,691.3846153846154,0,1458,637.5213675213676
118,1,19,12.864406779661017,1,25,13.474576271186441,2,1550,698.6610169491526,0,1472,644.5932203389831
119,1,19,12.899159663865547,1,25,13.470588235294118,2,1566,705.9495798319327,0,1484,651.6470588235294
120,1,19,12.916666666666666,1,25,13.45,2,1580,713.2333333333333,0,1494,658.6666666666666
121,1,19,12.917355371900827,1,25,13.52892561983471,2,1596,720.5289256198347,0,1516,665.7520661157025
122,1,19,12.934426229508198,1,25,13.573770491803279,2,1612,727.8360655737705,0,1534,672.8688524590164
123,1,19,12.951219512195122,1,25,13.56910569105691,2,1628,735.1544715447154,0,1546,679.9674796747968
124,1,19,12.983870967741936,1,25,13.612903225806452,2,1644,742.483870967742,0,1564,687.0967741935484
125,1,19,13.0,1,25,13.688,2,1658,749.808,0,1586,694.288
126,1,19,13.031746031746032,1,25,13.714285714285714,2,1676,757.1587301587301,0,1602,701.4920634920635
127,1,19,13.015748031496063,1,25,13.771653543307087,2,1692,764.5196850393701,0,1622,708.7401574803149
128,1,19,13.015625,1,25,13.75,2,1708,771.890625,0,1632,715.953125
129,1,19,13.0,1,25,13.775193798449612,2,1724,779.2713178294574,0,1648,723.1782945736434
130,1,19,13.0,1,25,13.846153846153847,2,1740,786.6615384615385,0,1670,730.4615384615385
131,1,19,12.98473282442748,1,25,13.900763358778626,2,1758,794.0763358778626,0,1690,737.7862595419847
132,1,19,13.0,1,25,13.893939393939394,2,1772,801.4848484848485,0,1702,745.0909090909091
133,1,19,13.030075187969924,1,25,13.93233082706767,2,1790,808.9172932330827,0,1720,752.421052631579
134,1,19,13.059701492537313,1,25,13.940298507462687,2,1808,816.3731343283582,0,1734,759.7462686567164
135,1,19,13.059259259259258,1,25,13.933333333333334,2,1824,823.837037037037,0,1746,767.0518518518519
136,1,19,13.088235294117647,1,25,13.985294117647058,2,1842,831.3235294117648,0,1766,774.3970588235294
137,1,19,13.102189781021897,1,25,14.021897810218977,2,1860,838.8321167883212,0,1784,781.7664233576643
138,1,19,13.08695652173913,1,25,14.028985507246377,2,1876,846.3478260869565,0,1798,789.1304347826087
139,1,19,13.115107913669064,1,25,14.079136690647482,2,1892,853.8705035971223,0,1818,796.5323741007194
140,1,19,13.128571428571428,1,25,14.1,2,1910,861.4142857142857,0,1834,803.9428571428572
141,1,19,13.113475177304965,1,25,14.106382978723405,2,1926,868.9645390070922,0,1848,811.3475177304964
142,1,19,13.126760563380282,1,25,14.169014084507042,2,1940,876.5070422535211,0,1870,818.8028169014085
143,1,19,13.13986013986014,1,25,14.174825174825175,2,1958,884.06993006993,0,1884,826.2517482517483
144,1,19,13.166666666666666,1,25,14.23611111111111,2,1976,891.6527777777778,0,1906,833.75
145,1,19,13.137931034482758,1,25,14.310344827586206,2,1994,899.255172413793,0,1930,841.3103448275862
146,1,19,13.123287671232877,1,25,14.383561643835616,2,2010,906.8630136986301,0,1954,848.931506849315
147,1,19,13.136054421768707,1,25,14.401360544217686,2,2028,914.4897959183673,0,1970,856.5578231292517
148,1,19,13.162162162162161,1,25,14.445945945945946,2,2046,922.1351351351351,0,1990,864.2162162162163
149,1,19,13.187919463087248,1,25,14.516778523489933,2,2062,929.7852348993289,0,2014,871.9328859060403
150,1,19,13.213333333333333,1,25,14.546666666666667,2,2080,937.4533333333334,0,2032,879.6666666666666
151,1,19,13.211920529801324,1,25,14.57615894039735,2,2098,945.1390728476821,0,2050,887.4172185430464
152,1,19,13.210526315789474,1,25,14.618421052631579,2,2114,952.828947368421,0,2070,895.1973684210526
153,1,19,13.222222222222221,1,25,14.633986928104575,2,2130,960.5228758169935,0,2086,902.9803921568628
154,1,19,13.233766233766234,1,25,14.636363636363637,2,2146,968.2207792207793,0,2100,910.7532467532468
155,1,19,13.245161290322581,1,25,14.703225806451613,2,2162,975.9225806451612,0,2124,918.5806451612904
156,1,19,13.243589743589743,1,25,14.692307692307692,2,2180,983.6410256410256,0,2136,926.3846153846154
157,1,19,13.254777070063694,1,25,14.668789808917197,2,2196,991.3630573248407,0,2146,934.1528662420383
158,1,19,13.253164556962025,1,25,14.658227848101266,2,2212,999.0886075949367,0,2158,941.8987341772151
159,1,19,13.264150943396226,1,25,14.71069182389937,2,2230,1006.8301886792453,0,2180,949.6855345911949
160,1,19,13.275,1,25,14.7375,2,2246,1014.575,0,2198,957.4875
161,1,19,13.273291925465838,1,25,14.751552795031056,2,2262,1022.3229813664597,0,2214,965.2919254658385
162,1,19,13.283950617283951,1,25,14.790123456790123,2,2278,1030.0740740740741,0,2234,973.1234567901234
163,1,19,13.294478527607362,1,25,14.779141104294478,2,2292,1037.8159509202453,0,2246,980.9325153374233
164,1,19,13.317073170731707,1,25,14.78048780487805,2,2306,1045.5487804878048,0,2260,988.7317073170732
165,1,19,13.351515151515152,1,25,14.793939393939393,2,2322,1053.2848484848485,0,2276,996.5333333333333
166,1,19,13.349397590361447,1,25,14.795180722891565,2,2338,1061.0240963855422,0,2290,1004.3253012048193
167,1,19,13.37125748502994,1,25,14.820359281437126,2,2356,1068.7784431137725,0,2308,1012.1317365269462
168,1,19,13.369047619047619,1,25,14.869047619047619,2,2374,1076.547619047619,0,2330,1019.9761904761905
169,1,19,13.355029585798816,1,25,14.881656804733728,2,2392,1084.3313609467455,0,2346,1027.8224852071005
170,1,19,13.376470588235295,1,25,14.894117647058824,2,2408,1092.1176470588234,0,2362,1035.6705882352942
171,1,19,13.397660818713451,1,25,14.871345029239766,2,2424,1099.906432748538,0,2372,1043.485380116959
172,1,19,13.406976744186046,1,25,14.872093023255815,2,2442,1107.7093023255813,0,2386,1051.2906976744187
173,1,19,13.416184971098266,1,25,14.907514450867051,2,2458,1115.5144508670521,0,2406,1059.121387283237
174,1,19,13.379310344827585,1,25,14.954022988505747,2,2476,1123.3333333333333,0,2428,1066.9885057471265
175,1,19,13.365714285714287,1,25,14.954285714285714,2,2492,1131.1542857142856,0,2442,1074.8457142857144
176,1,19,13.386363636363637,1,25,14.988636363636363,2,2508,1138.9772727272727,0,2462,1082.7272727272727
177,1,19,13.384180790960452,1,25,15.045197740112995,2,2526,1146.8135593220338,0,2486,1090.6553672316384
178,1,19,13.393258426966293,1,25,15.101123595505618,2,2544,1154.6629213483145,0,2510,1098.629213483146
179,1,19,13.402234636871508,1,25,15.134078212290502,2,2562,1162.5251396648046,0,2530,1106.6256983240223
180,1,19,13.411111111111111,1,25,15.166666666666666,2,2580,1170.4,0,2550,1114.6444444444444
181,1,19,13.430939226519337,1,25,15.187845303867404,2,2596,1178.2762430939226,0,2568,1122.6740331491712
182,1,19,13.428571428571429,1,25,15.208791208791208,2,2612,1186.1538461538462,0,2586,1130.7142857142858
183,1,19,13.448087431693988,1,25,15.19672131147541,2,2630,1194.0437158469945,0,2598,1138.7322404371585
184,1,19,13.456521739130435,1,25,15.206521739130435,2,2648,1201.945652173913,0,2614,1146.75
185,1,19,13.475675675675676,1,25,15.194594594594594,2,2664,1209.8486486486486,0,2626,1154.745945945946
186,1,19,13.46236559139785,1,25,15.193548387096774,2,2682,1217.763440860215,0,2640,1162.731182795699
187,1,19,13.470588235294118,1,25,15.192513368983958,2,2698,1225.6791443850268,0,2654,1170.7058823529412
188,1,19,13.47872340425532,1,25,15.22340425531915,2,2716,1233.6063829787233,0,2674,1178.7021276595744
189,1,19,13.497354497354497,1,25,15.243386243386244,2,2732,1241.5343915343915,0,2692,1186.7089947089946
190,1,19,13.494736842105263,1,25,15.294736842105262,2,2750,1249.4736842105262,0,2716,1194.7578947368422
191,1,19,13.492146596858639,1,25,15.31413612565445,2,2768,1257.4240837696334,0,2734,1202.8167539267015
192,1,19,13.489583333333334,1,25,15.291666666666666,2,2784,1265.375,0,2744,1210.84375
193,1,19,13.487046632124352,1,25,15.321243523316062,2,2802,1273.3367875647668,0,2764,1218.8911917098446
194,1,19,13.505154639175258,1,25,15.350515463917526,2,2820,1281.3092783505156,0,2784,1226.958762886598
195,1,19,13.492307692307692,1,25,15.35897435897436,2,2838,1289.2923076923078,0,2800,1235.025641025641
196,1,19,13.5,1,25,15.39795918367347,2,2854,1297.2755102040817,0,2822,1243.1224489795918
197,1,19,13.49746192893401,1,25,15.446700507614214,2,2872,1305.2690355329948,0,2846,1251.2588832487309
198,1,19,13.494949494949495,1,25,15.494949494949495,2,2890,1313.2727272727273,0,2870,1259.4343434343434
199,1,19,13.50251256281407,1,27,15.552763819095478,2,2908,1321.286432160804,0,2896,1267.6582914572864
200,1,19,13.5,1,27,15.58,2,2926,1329.31,0,2916,1275.9
201,1,19,13.517412935323383,1,27,15.63681592039801,2,2944,1337.3432835820895,0,2942,1284.189054726368
202,1,19,13.534653465346535,1,27,15.643564356435643,2,2962,1345.3861386138615,0,2958,1292.4752475247524
203,1,19,13.532019704433498,1,27,15.679802955665025,2,2982,1353.448275862069,0,2980,1300.7881773399015
204,1,19,13.549019607843137,1,27,15.666666666666666,2,3000,1361.5196078431372,0,2992,1309.078431372549
205,1,19,13.55609756097561,1,27,15.673170731707318,2,3018,1369.6,0,3008,1317.3658536585365
206,1,19,13.572815533980583,1,27,15.718446601941748,2,3036,1377.6893203883494,0,3032,1325.6893203883494
207,1,19,13.579710144927537,1,27,15.734299516908212,2,3052,1385.7777777777778,0,3050,1334.0193236714977
208,1,19,13.586538461538462,1,27,15.759615384615385,2,3070,1393.875,0,3070,1342.3653846153845
209,1,19,13.583732057416269,1,27,15.746411483253588,2,3088,1401.9808612440193,0,3082,1350.688995215311
210,1,19,13.59047619047619,1,29,15.80952380952381,2,3108,1410.104761904762,0,3110,1359.0666666666666
211,1,19,13.568720379146919,1,29,15.824644549763033,2,3124,1418.2274881516587,0,3128,1367.4502369668246
212,1,19,13.584905660377359,1,29,15.839622641509434,2,3142,1426.3584905660377,0,3146,1375.8396226415093
213,1,19,13.60093896713615,1,29,15.863849765258216,2,3160,1434.4976525821596,0,3166,1384.2441314553992
214,1,19,13.616822429906541,1,29,15.85981308411215,2,3176,1442.6355140186915,0,3180,1392.6355140186915
215,1,19,13.64186046511628,1,29,15.883720930232558,2,3194,1450.7813953488371,0,3200,1401.0418604651163
216,1,19,13.666666666666666,1,29,15.935185185185185,2,3214,1458.9444444444443,0,3226,1409.4907407407406
217,1,19,13.672811059907835,1,29,15.930875576036867,2,3232,1467.115207373272,0,3240,1417.926267281106
218,1,19,13.669724770642201,1,29,15.954128440366972,2,3250,1475.2935779816514,0,3260,1426.3761467889908
219,1,19,13.684931506849315,1,29,16.004566210045663,2,3270,1483.4885844748858,0,3286,1434.867579908676
220,1,19,13.7,1,29,16.054545454545455,2,3288,1491.6909090909091,0,3312,1443.4
221,1,19,13.69683257918552,1,29,16.058823529411764,2,3306,1499.9004524886877,0,3328,1451.9276018099547
222,1,19,13.693693693693694,1,29,16.063063063063062,2,3324,1508.117117117117,0,3344,1460.4504504504505
223,1,19,13.699551569506726,1,29,16.05829596412556,2,3340,1516.3318385650225,0,3358,1468.9596412556054
224,1,19,13.705357142857142,1,29,16.0625,2,3358,1524.5535714285713,0,3374,1477.4642857142858
225,1,19,13.72888888888889,1,29,16.066666666666666,2,3376,1532.7822222222221,0,3390,1485.9644444444446
226,1,19,13.743362831858407,1,31,16.13274336283186,2,3396,1541.0265486725664,0,3420,1494.5221238938052
227,1,19,13.740088105726873,1,31,16.145374449339208,2,3414,1549.2775330396476,0,3438,1503.0837004405287
228,1,19,13.75438596491228,1,31,16.140350877192983,2,3434,1557.5438596491229,0,3452,1511.6315789473683
229,1,19,13.759825327510917,1,31,16.179039301310045,2,3450,1565.8078602620087,0,3476,1520.2096069868996
230,1,19,13.765217391304347,1,31,16.2,2,3468,1574.0782608695652,0,3496,1528.8
231,1,19,13.770562770562771,1,31,16.22077922077922,2,3486,1582.3549783549784,0,3516,1537.4025974025974
232,1,19,13.78448275862069,1,31,16.224137931034484,2,3504,1590.6379310344828,0,3532,1546.0
233,1,19,13.78969957081545,1,31,16.236051502145923,2,3522,1598.9270386266094,0,3550,1554.6008583690987
234,1,19,13.786324786324787,1,31,16.28205128205128,2,3540,1607.2222222222222,0,3576,1563.2393162393162
235,1,19,13.8,1,31,16.293617021276596,2,3558,1615.523404255319,0,3594,1571.8808510638298
236,1,19,13.822033898305085,1,31,16.322033898305083,2,3578,1623.8389830508474,0,3616,1580.542372881356
237,1,19,13.810126582278482,1,31,16.341772151898734,2,3598,1632.168776371308,0,3636,1589.2151898734178
238,1,19,13.798319327731093,1,31,16.33613445378151,2,3616,1640.5042016806722,0,3650,1597.873949579832
239,1,19,13.786610878661088,1,31,16.355648535564853,2,3634,1648.8451882845188,0,3670,1606.5439330543934
240,1,19,13.791666666666666,1,31,16.366666666666667,2,3652,1657.1916666666666,0,3688,1615.2166666666667
241,1,19,13.796680497925312,1,31,16.369294605809127,2,3670,1665.5435684647302,0,3704,1623.8838174273858
242,1,19,13.809917355371901,1,31,16.380165289256198,2,3688,1673.900826446281,0,3722,1632.5537190082644
243,1,19,13.823045267489713,1,31,16.382716049382715,2,3702,1682.2469135802469,0,3738,1641.2181069958847
244,1,19,13.836065573770492,1,31,16.385245901639344,2,3720,1690.5983606557377,0,3754,1649.877049180328
245,1,19,13.840816326530613,1,31,16.37142857142857,2,3738,1698.9551020408164,0,3766,1658.5142857142857
246,1,19,13.845528455284553,1,31,16.414634146341463,2,3758,1707.3252032520325,0,3792,1667.1869918699188
247,1,19,13.842105263157896,1,31,16.425101214574898,2,3776,1715.7004048582996,0,3810,1675.8623481781376
248,1,19,13.846774193548388,1,31,16.43548387096774,2,3794,1724.0806451612902,0,3828,1684.5403225806451
249,1,19,13.85140562248996,1,31,16.46987951807229,2,3812,1732.4658634538152,0,3852,1693.2449799196788
250,1,19,13.864,1,31,16.504,2,3830,1740.856,0,3876,1701.976
251,1,19,13.876494023904382,1,31,16.51394422310757,2,3848,1749.2509960159362,0,3894,1710.7091633466136
252,1,19,13.88888888888889,1,31,16.547619047619047,2,3864,1757.642857142857,0,3918,1719.468253968254
253,1,19,13.893280632411066,1,31,16.557312252964426,2,3884,1766.0474308300395,0,3936,1728.2292490118577
254,1,19,13.89763779527559,1,31,16.566929133858267,2,3902,1774.4566929133857,0,3954,1736.992125984252
255,1,19,13.909803921568628,1,31,16.584313725490198,2,3920,1782.870588235294,0,3974,1745.764705882353
256,1,19,13.9140625,1,31,16.6171875,2,3938,1791.2890625,0,3998,1754.5625
257,1,19,13.918287937743191,1,31,16.634241245136188,2,3956,1799.7120622568093,0,4018,1763.3696498054476
